,Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,mixed
192,UNDERDRESSED,0.267,0.133,0.8,1.2,0.067,4.733,visual
193,STARK NAKED,0.2,0.133,1.267,1.4,0.133,4.733,visual
194,CLOUDINESS,0.667,0.0,0.2,0.267,0.133,4.733,visual
195,WINGLESS,0.556,0.111,2.222,0.389,0.111,4.722,visual
196,DAYBREAK,0.611,0.333,0.278,0.778,0.333,4.722,visual
197,MAT,0.056,0.0,3.722,0.0,0.333,4.722,visual
198,MEASURING CUP,0.389,0.389,2.444,0.389,0.167,4.722,visual
199,HUMAN,4.056,0.5,3.333,2.222,1.667,4.722,visual
200,HANDSHAKE,0.0,0.0,4.944,0.444,0.0,3.667,haptic
201,PRICKLY,0.133,0.2,4.933,1.867,0.2,3.267,haptic
202,TOUCH,0.562,0.0,4.875,1.312,0.0,2.625,haptic
203,TOUCHING,0.2,0.05,4.85,1.95,0.0,1.7,haptic
204,VELVETINESS,0.316,0.579,4.842,0.368,0.0,2.316,haptic
205,RUB,0.833,0.167,4.778,1.556,0.278,3.167,haptic
206,RUBDOWN,0.647,0.059,4.765,3.176,0.647,3.118,haptic
207,GRIP,0.0,0.25,4.75,1.188,0.0,2.812,haptic
208,FONDLE,0.095,0.048,4.714,2.286,0.0,2.714,haptic
209,FEEL,1.0,1.235,4.706,2.706,0.824,1.412,haptic
210,CUDDLY,0.412,0.0,4.706,1.765,0.059,2.941,haptic
211,SOFTNESS,1.688,0.5,4.688,0.875,0.562,3.062,haptic
212,PETTED,0.375,0.0,4.688,1.312,0.125,3.312,haptic
213,SMOOTH,1.278,1.556,4.667,1.111,0.5,3.056,haptic
214,FURRINESS,0.333,0.095,4.667,0.571,0.238,3.667,haptic
215,PUTTYLIKE,0.471,0.059,4.647,0.588,0.059,3.941,haptic
216,SILKY,0.786,0.286,4.643,0.429,0.071,2.857,haptic
217,POKE,0.842,0.0,4.632,1.526,0.053,2.789,haptic
218,KNOB,0.412,0.0,4.588,0.235,0.0,3.765,haptic
219,TEXTURALLY,0.25,1.188,4.562,1.0,0.0,2.625,haptic
220,SMOOTHLY,0.722,1.056,4.556,1.444,0.167,2.333,haptic
221,HARD,1.15,0.2,4.55,1.5,0.05,2.9,haptic
222,MAKE LOVE,3.39,2.488,4.537,4.61,2.317,4.0,haptic
223,RUBBERY,0.706,0.588,4.529,0.0,1.059,3.647,haptic
224,SOFT,0.684,0.368,4.526,0.842,0.316,1.947,haptic
225,WET,1.636,1.182,4.5,2.0,0.955,3.045,haptic
226,SPONGINESS,0.857,0.429,4.5,0.714,0.143,3.214,haptic
